,metric,value,step
129,Loss/Contrast,9.796835899353027,1018.0
130,Loss/Contrast,9.683615684509277,1022.0
131,Loss/Contrast,9.72252368927002,1037.0
132,Loss/Contrast,9.800187110900879,1067.0
133,Loss/Contrast,9.723101615905762,1091.0
134,Loss/Contrast,9.635393142700195,1092.0
135,Loss/Contrast,9.723579406738281,1103.0
136,Loss/Contrast,9.63314151763916,1127.0
137,Loss/Contrast,9.653383255004883,1135.0
138,Loss/Contrast,9.820027351379395,1138.0
139,Loss/Contrast,9.710592269897461,1153.0
140,Loss/Contrast,9.698296546936035,1157.0
141,Loss/Contrast,9.660540580749512,1171.0
142,Loss/Contrast,9.699051856994629,1191.0
143,Loss/Contrast,9.657623291015625,1200.0
144,Loss/Contrast,9.605661392211914,1210.0
145,Loss/Contrast,9.721527099609375,1212.0
146,Loss/Contrast,9.663962364196777,1221.0
147,Loss/Contrast,9.692912101745605,1237.0
148,Loss/Contrast,9.759918212890625,1239.0
149,Loss/Contrast,9.727126121520996,1260.0
150,Loss/Contrast,9.697980880737305,1267.0
151,Loss/Contrast,9.667993545532227,1275.0
152,Loss/Contrast,9.735553741455078,1283.0
153,Loss/Contrast,9.77978229522705,1285.0
154,Loss/Contrast,9.728182792663574,1299.0
155,Loss/Contrast,9.712864875793457,1314.0
156,Loss/Contrast,9.641627311706543,1318.0
157,Loss/Contrast,9.695954322814941,1320.0
158,Loss/Contrast,9.6742525100708,1359.0
159,Loss/Contrast,9.74164867401123,1377.0
160,Loss/Contrast,9.742059707641602,1378.0
161,Loss/Contrast,9.71650505065918,1379.0
162,Loss/Contrast,9.740577697753906,1401.0
163,Loss/Contrast,9.688202857971191,1410.0
164,Loss/Contrast,9.813579559326172,1412.0
165,Loss/Contrast,9.719639778137207,1425.0
166,Loss/Contrast,9.723885536193848,1428.0
167,Loss/Contrast,9.638147354125977,1434.0
168,Loss/Contrast,9.688407897949219,1435.0
169,Loss/Contrast,9.657394409179688,1438.0
170,Loss/Contrast,9.708463668823242,1455.0
171,Loss/Contrast,9.596630096435547,1468.0
172,Loss/Contrast,9.730902671813965,1473.0
173,Loss/Contrast,9.725085258483887,1484.0
174,Loss/Contrast,9.67994499206543,1490.0
175,Loss/Contrast,9.6436128616333,1494.0
176,Loss/Contrast,9.823814392089844,1497.0
177,Loss/Contrast,9.686806678771973,1504.0
178,Loss/Contrast,9.68453598022461,1539.0
179,Loss/Contrast,9.804301261901855,1570.0
180,Loss/Contrast,9.741743087768555,1578.0
181,Loss/Contrast,9.659639358520508,1588.0
182,Loss/Contrast,9.679810523986816,1629.0
183,Loss/Contrast,9.679823875427246,1635.0
184,Loss/Contrast,9.656764030456543,1644.0
185,Loss/Contrast,9.736029624938965,1659.0
186,Loss/Contrast,9.67859172821045,1664.0
187,Loss/Contrast,9.689861297607422,1667.0
188,Loss/Contrast,9.72854995727539,1682.0
189,Loss/Contrast,9.674842834472656,1701.0
190,Loss/Contrast,9.670575141906738,1705.0
191,Loss/Contrast,9.649534225463867,1717.0
192,Loss/Contrast,9.730360984802246,1723.0
193,Loss/Contrast,9.626738548278809,1726.0
194,Loss/Contrast,9.683552742004395,1728.0
195,Loss/Contrast,9.636072158813477,1757.0
196,Loss/Contrast,9.703386306762695,1763.0
197,Loss/Contrast,9.706160545349121,1786.0
198,Loss/Contrast,9.688762664794922,1798.0
199,Loss/Contrast,9.72550106048584,1820.0
200,Loss/Contrast,9.594396591186523,1829.0
201,Loss/Contrast,9.726873397827148,1831.0
202,Loss/Contrast,9.658337593078613,1836.0
203,Loss/Contrast,9.640271186828613,1839.0
204,Loss/Contrast,9.6553316116333,1847.0
205,Loss/Contrast,9.706724166870117,1860.0
206,Loss/Contrast,9.732007026672363,1864.0
207,Loss/Contrast,9.736598014831543,1890.0
208,Loss/Contrast,9.748442649841309,1891.0
209,Loss/Contrast,9.658408164978027,1917.0
210,Loss/Contrast,9.954329490661621,1920.0
211,Loss/Contrast,9.63759708404541,1923.0
212,Loss/Contrast,9.737322807312012,1953.0
213,Loss/Contrast,9.67946720123291,1969.0
214,Loss/Contrast,9.706724166870117,2037.0
215,Loss/Contrast,9.705495834350586,2043.0
216,Loss/Contrast,9.741422653198242,2047.0
217,Loss/Contrast,9.676820755004883,2075.0
218,Loss/Contrast,9.734161376953125,2102.0
219,Loss/Contrast,9.597247123718262,2113.0
220,Loss/Contrast,9.722033500671387,2133.0
221,Loss/Contrast,9.612457275390625,2135.0
222,Loss/Contrast,9.686909675598145,2144.0
223,Loss/Contrast,9.64296817779541,2188.0
224,Loss/Contrast,9.699378967285156,2190.0
225,Loss/Contrast,9.70736026763916,2201.0
226,Loss/Contrast,9.720555305480957,2204.0
227,Loss/Contrast,9.684603691101074,2224.0
228,Loss/Contrast,9.67125415802002,2225.0
229,Loss/Contrast,9.651097297668457,2248.0
230,Loss/Contrast,9.601875305175781,2250.0
231,Loss/Contrast,9.755475044250488,2259.0
232,Loss/Contrast,9.659650802612305,2264.0
233,Loss/Contrast,9.722770690917969,2267.0
234,Loss/Contrast,9.644017219543457,2275.0
235,Loss/Contrast,9.710638999938965,2278.0
236,Loss/Contrast,9.645021438598633,2292.0
237,Loss/Contrast,9.716896057128906,2302.0
238,Loss/Contrast,9.693180084228516,2312.0
239,Loss/Contrast,9.626627922058105,2314.0
240,Loss/Contrast,9.760611534118652,2316.0
241,Loss/Contrast,9.741490364074707,2329.0
242,Loss/Contrast,9.659096717834473,2333.0
243,Loss/Contrast,9.678254127502441,2347.0
244,Loss/Contrast,9.739757537841797,2370.0
245,Loss/Contrast,9.684767723083496,2376.0
246,Loss/Contrast,9.687901496887207,2385.0
247,Loss/Contrast,9.682205200195312,2388.0
248,Loss/Contrast,9.687609672546387,2401.0
249,Loss/Contrast,9.64651870727539,2403.0
250,Loss/Contrast,9.675334930419922,2413.0
251,Loss/Contrast,9.73701286315918,2425.0
252,Loss/Contrast,9.675530433654785,2428.0
253,Loss/Contrast,9.714337348937988,2430.0
254,Loss/Contrast,9.69143009185791,2495.0
255,Loss/Contrast,9.681981086730957,2500.0
256,Loss/Contrast,9.633125305175781,2503.0
257,Loss/Contrast,9.6620512008667,2517.0
258,Loss/Contrast,9.604827880859375,2550.0
259,Loss/Contrast,9.677659034729004,2556.0
260,Loss/Contrast,9.686388969421387,2561.0
261,Loss/Contrast,9.621214866638184,2563.0
262,Loss/Contrast,9.719242095947266,2600.0
263,Loss/Contrast,9.697991371154785,2601.0
264,Loss/Contrast,9.739914894104004,2612.0
265,Loss/Contrast,9.626143455505371,2613.0
266,Loss/Contrast,9.773931503295898,2647.0
267,Loss/Contrast,9.632270812988281,2648.0
268,Loss/Contrast,9.70559310913086,2652.0
269,Loss/Contrast,9.696667671203613,2659.0
270,Loss/Contrast,9.67546558380127,2660.0
271,Loss/Contrast,9.654197692871094,2662.0
272,Loss/Contrast,9.704545974731445,2673.0
273,Loss/Contrast,9.724922180175781,2685.0
274,Loss/Contrast,9.690129280090332,2711.0
275,Loss/Contrast,9.646066665649414,2723.0
276,Loss/Contrast,9.749095916748047,2734.0
277,Loss/Contrast,9.67136287689209,2775.0
278,Loss/Contrast,9.768714904785156,2791.0
279,Loss/Contrast,9.759814262390137,2792.0
280,Loss/Contrast,9.649282455444336,2795.0
281,Loss/Contrast,9.667716979980469,2805.0
282,Loss/Contrast,9.64356517791748,2806.0
283,Loss/Contrast,9.713488578796387,2808.0
284,Loss/Contrast,9.705314636230469,2811.0
285,Loss/Contrast,9.773582458496094,2836.0
286,Loss/Contrast,9.649398803710938,2839.0
287,Loss/Contrast,9.635921478271484,2845.0
288,Loss/Contrast,9.72614574432373,2857.0
289,Loss/Contrast,9.70993423461914,2860.0
290,Loss/Contrast,9.747035026550293,2902.0
291,Loss/Contrast,9.717449188232422,2927.0
292,Loss/Contrast,9.668986320495605,2932.0
293,Loss/Contrast,9.748342514038086,2935.0
294,Loss/Contrast,9.615839004516602,2944.0
295,Loss/Contrast,9.672680854797363,2960.0
296,Loss/Contrast,9.70292854309082,2966.0
297,Loss/Contrast,9.670690536499023,2981.0
298,Loss/Contrast,9.75883960723877,2987.0
299,Loss/Contrast,9.68321418762207,3002.0
300,Loss/Contrast,9.748573303222656,3003.0
301,Loss/Contrast,9.66263198852539,3024.0
302,Loss/Contrast,9.715484619140625,3028.0
303,Loss/Contrast,9.734848976135254,3048.0
304,Loss/Contrast,9.75373649597168,3049.0
305,Loss/Contrast,9.736678123474121,3080.0
306,Loss/Contrast,9.731677055358887,3097.0
307,Loss/Contrast,9.7194242477417,3108.0
308,Loss/Contrast,9.686868667602539,3128.0
309,Loss/Contrast,9.684789657592773,3134.0
310,Loss/Contrast,9.703187942504883,3142.0
311,Loss/Contrast,9.6437349319458,3143.0
312,Loss/Contrast,9.666723251342773,3144.0
313,Loss/Contrast,9.630210876464844,3154.0
314,Loss/Contrast,9.672094345092773,3168.0
315,Loss/Contrast,9.63360595703125,3170.0
316,Loss/Contrast,9.60948657989502,3178.0
317,Loss/Contrast,9.51779556274414,3181.0
318,Loss/Contrast,9.670761108398438,3198.0
319,Loss/Contrast,9.606781005859375,3205.0
320,Loss/Contrast,9.690731048583984,3217.0
321,Loss/Contrast,9.692892074584961,3235.0
322,Loss/Contrast,9.739909172058105,3243.0
323,Loss/Contrast,9.694671630859375,3259.0
324,Loss/Contrast,9.616217613220215,3263.0
325,Loss/Contrast,9.609573364257812,3269.0
326,Loss/Contrast,9.719579696655273,3277.0
327,Loss/Contrast,9.690783500671387,3284.0
328,Loss/Contrast,9.783638954162598,3290.0
329,Loss/Contrast,9.695426940917969,3309.0
330,Loss/Contrast,9.748784065246582,3314.0
331,Loss/Contrast,9.706101417541504,3331.0
332,Loss/Contrast,9.688337326049805,3333.0
333,Loss/Contrast,9.654364585876465,3339.0
334,Loss/Contrast,9.63081169128418,3340.0
335,Loss/Contrast,9.665460586547852,3343.0
336,Loss/Contrast,9.71573257446289,3345.0
337,Loss/Contrast,9.651612281799316,3362.0
338,Loss/Contrast,9.61928653717041,3375.0
339,Loss/Contrast,9.688197135925293,3386.0
340,Loss/Contrast,9.72108268737793,3397.0
341,Loss/Contrast,9.658531188964844,3400.0
342,Loss/Contrast,9.745231628417969,3403.0
343,Loss/Contrast,9.6781644821167,3432.0
344,Loss/Contrast,9.651275634765625,3433.0
345,Loss/Contrast,9.662485122680664,3439.0
346,Loss/Contrast,9.68118667602539,3441.0
347,Loss/Contrast,9.63078498840332,3445.0
348,Loss/Contrast,9.668274879455566,3447.0
349,Loss/Contrast,9.699527740478516,3463.0
350,Loss/Contrast,9.657905578613281,3477.0
351,Loss/Contrast,9.636819839477539,3494.0
352,Loss/Contrast,9.664142608642578,3497.0
353,Loss/Contrast,9.681343078613281,3500.0
354,Loss/Contrast,9.638808250427246,3503.0
355,Loss/Contrast,9.68016242980957,3506.0
356,Loss/Contrast,9.62362289428711,3511.0
357,Loss/Contrast,9.72182559967041,3515.0
358,Loss/Contrast,9.644613265991211,3519.0
359,Loss/Contrast,9.628951072692871,3521.0
360,Loss/Contrast,9.593034744262695,3522.0
361,Loss/Contrast,9.708333015441895,3523.0
362,Loss/Contrast,9.706011772155762,3539.0
363,Loss/Contrast,9.600662231445312,3546.0
364,Loss/Contrast,9.658584594726562,3559.0
365,Loss/Contrast,9.651564598083496,3579.0
366,Loss/Contrast,9.650609970092773,3583.0
367,Loss/Contrast,9.645303726196289,3589.0
368,Loss/Contrast,9.755972862243652,3594.0
369,Loss/Contrast,9.716656684875488,3609.0
370,Loss/Contrast,9.70996379852295,3612.0
371,Loss/Contrast,9.67389965057373,3617.0
372,Loss/Contrast,9.708185195922852,3652.0
373,Loss/Contrast,9.687225341796875,3656.0
374,Loss/Contrast,9.72110652923584,3661.0
375,Loss/Contrast,9.653392791748047,3672.0
376,Loss/Contrast,9.682483673095703,3721.0
377,Loss/Contrast,9.66421127319336,3723.0
378,Loss/Contrast,9.689709663391113,3729.0
379,Loss/Contrast,9.680583953857422,3730.0
380,Loss/Contrast,9.69279956817627,3731.0
381,Loss/Contrast,9.771727561950684,3735.0
382,Loss/Contrast,9.66202163696289,3745.0
383,Loss/Contrast,9.768742561340332,3752.0
384,Loss/Contrast,9.627766609191895,3762.0
385,Loss/Contrast,9.688325881958008,3780.0
386,Loss/Contrast,9.647067070007324,3789.0
387,Loss/Contrast,9.669881820678711,3797.0
388,Loss/Contrast,9.800854682922363,3830.0
389,Loss/Contrast,9.631742477416992,3849.0
