,metric,value,step
4941,Loss/Contrast,4.1233673095703125,1001.0
610,Loss/Contrast,4.197000980377197,1005.0
4942,Loss/Contrast,4.275035381317139,1006.0
4943,Loss/Contrast,4.136322021484375,1008.0
5023,Loss/Contrast,3.7531392574310303,1012.0
2258,Loss/Contrast,3.782069683074951,1012.0
2480,Loss/Contrast,4.036642551422119,1015.0
5755,Loss/Contrast,3.888352632522583,1022.0
5756,Loss/Contrast,3.8129618167877197,1024.0
5024,Loss/Contrast,3.9124624729156494,1029.0
2481,Loss/Contrast,4.217508316040039,1031.0
5757,Loss/Contrast,4.1609907150268555,1036.0
5025,Loss/Contrast,4.404897212982178,1038.0
2482,Loss/Contrast,4.253719329833984,1039.0
51,Loss/Contrast,3.8887906074523926,1040.0
5026,Loss/Contrast,4.533359050750732,1046.0
611,Loss/Contrast,4.086575984954834,1050.0
5758,Loss/Contrast,3.765678644180298,1053.0
52,Loss/Contrast,4.257814884185791,1057.0
4944,Loss/Contrast,4.227024078369141,1058.0
2483,Loss/Contrast,4.361032485961914,1058.0
5027,Loss/Contrast,3.976062059402466,1059.0
53,Loss/Contrast,4.407066345214844,1062.0
5759,Loss/Contrast,4.013848304748535,1063.0
2259,Loss/Contrast,3.905355215072632,1067.0
612,Loss/Contrast,3.8963754177093506,1070.0
4945,Loss/Contrast,4.149551868438721,1072.0
2484,Loss/Contrast,4.01867151260376,1072.0
2260,Loss/Contrast,4.231578826904297,1075.0
2261,Loss/Contrast,4.278562545776367,1076.0
5028,Loss/Contrast,3.992108106613159,1077.0
4946,Loss/Contrast,3.735738754272461,1080.0
54,Loss/Contrast,4.011132717132568,1092.0
4947,Loss/Contrast,4.185245990753174,1095.0
5029,Loss/Contrast,4.648848056793213,1096.0
2262,Loss/Contrast,4.313260555267334,1097.0
5030,Loss/Contrast,4.513021945953369,1097.0
2263,Loss/Contrast,3.841188669204712,1102.0
2264,Loss/Contrast,4.301186561584473,1107.0
5760,Loss/Contrast,4.054080009460449,1107.0
2485,Loss/Contrast,4.360018730163574,1114.0
5031,Loss/Contrast,4.294925212860107,1114.0
4948,Loss/Contrast,3.855320692062378,1115.0
613,Loss/Contrast,4.072390079498291,1118.0
2265,Loss/Contrast,4.381509780883789,1120.0
2486,Loss/Contrast,3.8766350746154785,1122.0
4949,Loss/Contrast,4.041995048522949,1124.0
2487,Loss/Contrast,3.7337968349456787,1125.0
4950,Loss/Contrast,4.052383899688721,1125.0
2488,Loss/Contrast,3.8668832778930664,1126.0
55,Loss/Contrast,4.49025297164917,1129.0
2489,Loss/Contrast,4.183207035064697,1129.0
5761,Loss/Contrast,4.221499443054199,1130.0
2490,Loss/Contrast,4.09705114364624,1132.0
2266,Loss/Contrast,4.440264701843262,1136.0
5762,Loss/Contrast,3.8412680625915527,1140.0
5763,Loss/Contrast,3.8392796516418457,1151.0
5032,Loss/Contrast,4.249388694763184,1159.0
5764,Loss/Contrast,4.1821465492248535,1165.0
2267,Loss/Contrast,4.277714252471924,1171.0
5033,Loss/Contrast,4.2900471687316895,1171.0
5765,Loss/Contrast,4.146788120269775,1175.0
56,Loss/Contrast,4.207242488861084,1178.0
4951,Loss/Contrast,4.322571754455566,1183.0
2268,Loss/Contrast,4.065210342407227,1183.0
2491,Loss/Contrast,4.271468162536621,1185.0
