,metric,value,step
1002,Loss/Contrast,3.0497119426727295,1000.0
1003,Loss/Contrast,2.90933895111084,1007.0
5077,Loss/Contrast,4.410364151000977,1010.0
5078,Loss/Contrast,4.060415744781494,1011.0
6404,Loss/Contrast,4.03672456741333,1011.0
3555,Loss/Contrast,3.8835043907165527,1016.0
6405,Loss/Contrast,4.340902328491211,1017.0
3556,Loss/Contrast,3.6036951541900635,1025.0
5752,Loss/Contrast,4.08670711517334,1027.0
3557,Loss/Contrast,4.185894966125488,1029.0
3558,Loss/Contrast,4.296778678894043,1033.0
43,Loss/Contrast,4.246215343475342,1039.0
1004,Loss/Contrast,2.586243152618408,1051.0
5753,Loss/Contrast,4.351617336273193,1056.0
44,Loss/Contrast,4.064035415649414,1056.0
5754,Loss/Contrast,4.074206829071045,1064.0
6406,Loss/Contrast,4.289539813995361,1065.0
5079,Loss/Contrast,4.140998840332031,1075.0
3559,Loss/Contrast,4.306405067443848,1078.0
6407,Loss/Contrast,4.514926433563232,1081.0
5080,Loss/Contrast,3.9762744903564453,1083.0
5081,Loss/Contrast,4.3610687255859375,1088.0
1005,Loss/Contrast,3.3090932369232178,1088.0
45,Loss/Contrast,4.178106307983398,1091.0
5082,Loss/Contrast,4.150241374969482,1110.0
6408,Loss/Contrast,4.487532138824463,1110.0
1006,Loss/Contrast,3.292815923690796,1111.0
6314,Loss/Contrast,4.190936088562012,1118.0
5083,Loss/Contrast,4.019967555999756,1120.0
5084,Loss/Contrast,3.8451743125915527,1121.0
3560,Loss/Contrast,4.2625203132629395,1123.0
5755,Loss/Contrast,4.201879024505615,1124.0
46,Loss/Contrast,4.297430515289307,1128.0
5085,Loss/Contrast,4.1035847663879395,1132.0
1007,Loss/Contrast,2.913719415664673,1137.0
6409,Loss/Contrast,4.136375427246094,1145.0
3561,Loss/Contrast,4.038722515106201,1145.0
5086,Loss/Contrast,4.359670162200928,1146.0
3562,Loss/Contrast,3.9567720890045166,1147.0
5756,Loss/Contrast,4.261816501617432,1152.0
1008,Loss/Contrast,3.027085065841675,1155.0
5757,Loss/Contrast,4.175829887390137,1158.0
3563,Loss/Contrast,4.1020941734313965,1159.0
6315,Loss/Contrast,4.047144412994385,1160.0
1009,Loss/Contrast,2.9787323474884033,1163.0
3564,Loss/Contrast,4.0299391746521,1164.0
5758,Loss/Contrast,4.400906562805176,1170.0
47,Loss/Contrast,3.939046621322632,1177.0
5087,Loss/Contrast,4.15579080581665,1202.0
5759,Loss/Contrast,4.217988014221191,1209.0
5760,Loss/Contrast,4.231215953826904,1216.0
48,Loss/Contrast,4.439425945281982,1221.0
3565,Loss/Contrast,3.8308463096618652,1227.0
6410,Loss/Contrast,4.140659332275391,1227.0
6316,Loss/Contrast,3.9953081607818604,1234.0
49,Loss/Contrast,4.260822772979736,1236.0
1010,Loss/Contrast,3.422369956970215,1243.0
1011,Loss/Contrast,2.954010009765625,1249.0
6317,Loss/Contrast,3.854882001876831,1250.0
6411,Loss/Contrast,3.8447022438049316,1251.0
5761,Loss/Contrast,4.601570129394531,1257.0
5088,Loss/Contrast,4.45133113861084,1260.0
3566,Loss/Contrast,4.108611106872559,1262.0
5089,Loss/Contrast,4.223304748535156,1265.0
5762,Loss/Contrast,4.143144607543945,1270.0
5763,Loss/Contrast,4.40399169921875,1274.0
5090,Loss/Contrast,4.25737190246582,1278.0
1012,Loss/Contrast,3.491208076477051,1283.0
6318,Loss/Contrast,4.224969387054443,1285.0
3567,Loss/Contrast,3.8609681129455566,1296.0
6412,Loss/Contrast,4.009239196777344,1297.0
6413,Loss/Contrast,4.05615758895874,1300.0
50,Loss/Contrast,4.051185607910156,1302.0
1013,Loss/Contrast,2.9116780757904053,1306.0
6414,Loss/Contrast,3.862649440765381,1313.0
5764,Loss/Contrast,4.00716495513916,1320.0
1014,Loss/Contrast,3.5065910816192627,1320.0
6415,Loss/Contrast,3.929471254348755,1321.0
5765,Loss/Contrast,4.012169361114502,1327.0
6319,Loss/Contrast,3.9002084732055664,1330.0
51,Loss/Contrast,4.237275123596191,1337.0
6320,Loss/Contrast,4.412333011627197,1342.0
3568,Loss/Contrast,3.773287057876587,1346.0
52,Loss/Contrast,4.199714660644531,1352.0
5766,Loss/Contrast,4.112175941467285,1356.0
5091,Loss/Contrast,4.097110271453857,1360.0
3569,Loss/Contrast,4.403602600097656,1360.0
5767,Loss/Contrast,3.7886693477630615,1380.0
5768,Loss/Contrast,4.167415142059326,1384.0
6321,Loss/Contrast,3.9522056579589844,1384.0
1015,Loss/Contrast,3.275954484939575,1386.0
53,Loss/Contrast,4.361527442932129,1390.0
1016,Loss/Contrast,3.578723669052124,1400.0
5092,Loss/Contrast,4.233105659484863,1403.0
54,Loss/Contrast,4.04164457321167,1409.0
1017,Loss/Contrast,3.978463888168335,1412.0
5769,Loss/Contrast,3.974356174468994,1415.0
6416,Loss/Contrast,4.435802936553955,1424.0
3570,Loss/Contrast,4.303930759429932,1424.0
3571,Loss/Contrast,4.281805038452148,1426.0
3572,Loss/Contrast,3.92598032951355,1428.0
3573,Loss/Contrast,4.028846263885498,1429.0
5770,Loss/Contrast,4.108300685882568,1430.0
1018,Loss/Contrast,3.3716495037078857,1430.0
6417,Loss/Contrast,3.9133310317993164,1434.0
6418,Loss/Contrast,4.231118679046631,1440.0
6322,Loss/Contrast,3.9888648986816406,1446.0
1019,Loss/Contrast,3.184530258178711,1450.0
5093,Loss/Contrast,4.173047065734863,1450.0
6323,Loss/Contrast,3.6029109954833984,1456.0
6419,Loss/Contrast,4.088793754577637,1457.0
3574,Loss/Contrast,3.6393303871154785,1458.0
1020,Loss/Contrast,3.3602631092071533,1459.0
5771,Loss/Contrast,3.896435260772705,1459.0
5094,Loss/Contrast,4.109206676483154,1467.0
1021,Loss/Contrast,3.4354844093322754,1469.0
5772,Loss/Contrast,3.9620776176452637,1469.0
3575,Loss/Contrast,3.990884780883789,1476.0
55,Loss/Contrast,4.147090911865234,1482.0
5773,Loss/Contrast,4.2067694664001465,1496.0
6420,Loss/Contrast,3.763545036315918,1507.0
6324,Loss/Contrast,4.236992835998535,1507.0
5774,Loss/Contrast,4.302480697631836,1508.0
5095,Loss/Contrast,3.769392490386963,1509.0
5775,Loss/Contrast,4.22658109664917,1511.0
6325,Loss/Contrast,4.32692813873291,1511.0
1022,Loss/Contrast,2.84968638420105,1513.0
5096,Loss/Contrast,4.077284336090088,1517.0
56,Loss/Contrast,3.8845908641815186,1519.0
6326,Loss/Contrast,3.4040679931640625,1523.0
3576,Loss/Contrast,3.851564884185791,1523.0
5776,Loss/Contrast,4.358916282653809,1527.0
5777,Loss/Contrast,4.1783881187438965,1531.0
6421,Loss/Contrast,4.072683811187744,1543.0
5097,Loss/Contrast,4.0240254402160645,1554.0
6422,Loss/Contrast,4.037418842315674,1556.0
6423,Loss/Contrast,4.3150506019592285,1557.0
57,Loss/Contrast,3.946570634841919,1558.0
3577,Loss/Contrast,4.234965801239014,1566.0
3578,Loss/Contrast,3.9867000579833984,1572.0
5778,Loss/Contrast,3.842938184738159,1573.0
5098,Loss/Contrast,3.9634926319122314,1575.0
58,Loss/Contrast,3.852684736251831,1576.0
6327,Loss/Contrast,4.061505317687988,1577.0
3579,Loss/Contrast,4.182356834411621,1580.0
1023,Loss/Contrast,2.9174182415008545,1584.0
6424,Loss/Contrast,3.7430899143218994,1585.0
6328,Loss/Contrast,4.247624397277832,1587.0
1024,Loss/Contrast,2.9858131408691406,1587.0
5099,Loss/Contrast,3.909396171569824,1595.0
5779,Loss/Contrast,4.088644504547119,1597.0
5780,Loss/Contrast,4.131863117218018,1599.0
6425,Loss/Contrast,4.089748859405518,1601.0
1025,Loss/Contrast,3.516646385192871,1602.0
5100,Loss/Contrast,3.988889455795288,1605.0
3580,Loss/Contrast,4.013405799865723,1607.0
5781,Loss/Contrast,4.236719131469727,1612.0
5101,Loss/Contrast,4.290149688720703,1624.0
59,Loss/Contrast,4.382993698120117,1627.0
3581,Loss/Contrast,3.8445322513580322,1632.0
60,Loss/Contrast,3.737903356552124,1633.0
5782,Loss/Contrast,3.8082737922668457,1640.0
5102,Loss/Contrast,4.198742866516113,1651.0
6329,Loss/Contrast,4.021574974060059,1653.0
3582,Loss/Contrast,4.073930740356445,1653.0
5103,Loss/Contrast,3.535247564315796,1669.0
3583,Loss/Contrast,3.7283246517181396,1675.0
3584,Loss/Contrast,4.020158767700195,1682.0
6426,Loss/Contrast,4.127358913421631,1689.0
61,Loss/Contrast,4.29911994934082,1689.0
62,Loss/Contrast,4.078003883361816,1696.0
63,Loss/Contrast,4.532621383666992,1703.0
5783,Loss/Contrast,3.6398022174835205,1703.0
6330,Loss/Contrast,3.7973554134368896,1705.0
6331,Loss/Contrast,4.182024002075195,1715.0
5104,Loss/Contrast,4.460691452026367,1740.0
5784,Loss/Contrast,4.114376068115234,1746.0
5785,Loss/Contrast,4.005742073059082,1753.0
1026,Loss/Contrast,2.8914828300476074,1757.0
64,Loss/Contrast,3.967280387878418,1769.0
1027,Loss/Contrast,3.297276020050049,1770.0
3585,Loss/Contrast,4.002322673797607,1783.0
6427,Loss/Contrast,4.161120414733887,1791.0
5105,Loss/Contrast,3.3916263580322266,1803.0
6332,Loss/Contrast,3.971177101135254,1803.0
3586,Loss/Contrast,4.216527462005615,1805.0
5106,Loss/Contrast,3.7963924407958984,1806.0
1028,Loss/Contrast,2.71378755569458,1813.0
1029,Loss/Contrast,3.3156745433807373,1815.0
5107,Loss/Contrast,3.438913106918335,1821.0
5786,Loss/Contrast,4.358767032623291,1825.0
5787,Loss/Contrast,3.854139566421509,1832.0
1030,Loss/Contrast,3.2636587619781494,1833.0
1031,Loss/Contrast,3.411698818206787,1834.0
6428,Loss/Contrast,4.133176803588867,1841.0
1032,Loss/Contrast,2.866302967071533,1844.0
5108,Loss/Contrast,3.9473109245300293,1849.0
5788,Loss/Contrast,3.7211804389953613,1863.0
65,Loss/Contrast,3.8357698917388916,1863.0
1033,Loss/Contrast,3.3829338550567627,1864.0
66,Loss/Contrast,3.8615036010742188,1866.0
5789,Loss/Contrast,3.9351987838745117,1873.0
5109,Loss/Contrast,3.8174285888671875,1875.0
3587,Loss/Contrast,3.410675525665283,1891.0
67,Loss/Contrast,3.6157376766204834,1900.0
6429,Loss/Contrast,4.148446559906006,1903.0
5790,Loss/Contrast,4.271697998046875,1903.0
