,metric,value,step
112,Loss/Contrast,-2.33355712890625,1011.0
113,Loss/Contrast,-2.29487943649292,1026.0
114,Loss/Contrast,-2.3445000648498535,1034.0
115,Loss/Contrast,-2.2770614624023438,1040.0
116,Loss/Contrast,-2.271984577178955,1057.0
117,Loss/Contrast,-2.2252516746520996,1062.0
118,Loss/Contrast,-2.302091121673584,1069.0
119,Loss/Contrast,-2.24576997756958,1080.0
120,Loss/Contrast,-2.2458508014678955,1087.0
121,Loss/Contrast,-2.274237871170044,1092.0
122,Loss/Contrast,-2.340104579925537,1101.0
123,Loss/Contrast,-2.2989461421966553,1110.0
124,Loss/Contrast,-2.257697343826294,1129.0
125,Loss/Contrast,-2.3188388347625732,1143.0
126,Loss/Contrast,-2.2151947021484375,1155.0
127,Loss/Contrast,-2.235828399658203,1178.0
128,Loss/Contrast,-2.3361120223999023,1195.0
129,Loss/Contrast,-2.3075249195098877,1218.0
130,Loss/Contrast,-2.2918057441711426,1222.0
131,Loss/Contrast,-2.2861146926879883,1237.0
132,Loss/Contrast,-2.348273277282715,1267.0
133,Loss/Contrast,-2.267455577850342,1291.0
134,Loss/Contrast,-2.3837780952453613,1292.0
135,Loss/Contrast,-2.3459692001342773,1303.0
136,Loss/Contrast,-2.3711724281311035,1327.0
137,Loss/Contrast,-2.3028743267059326,1335.0
138,Loss/Contrast,-2.388793468475342,1338.0
139,Loss/Contrast,-2.3867154121398926,1353.0
140,Loss/Contrast,-2.3610024452209473,1357.0
141,Loss/Contrast,-2.2463979721069336,1371.0
142,Loss/Contrast,-2.3813085556030273,1391.0
143,Loss/Contrast,-2.2938599586486816,1400.0
144,Loss/Contrast,-2.3294050693511963,1410.0
145,Loss/Contrast,-2.3025264739990234,1412.0
146,Loss/Contrast,-2.35837721824646,1421.0
147,Loss/Contrast,-2.3205347061157227,1437.0
148,Loss/Contrast,-2.3272407054901123,1439.0
149,Loss/Contrast,-2.285914897918701,1460.0
150,Loss/Contrast,-2.3481996059417725,1467.0
151,Loss/Contrast,-2.3106226921081543,1475.0
152,Loss/Contrast,-2.3173820972442627,1483.0
153,Loss/Contrast,-2.3478970527648926,1485.0
154,Loss/Contrast,-2.2779927253723145,1499.0
155,Loss/Contrast,-2.4023685455322266,1514.0
156,Loss/Contrast,-2.3231282234191895,1518.0
157,Loss/Contrast,-2.262605905532837,1520.0
158,Loss/Contrast,-2.3847055435180664,1559.0
159,Loss/Contrast,-2.327841281890869,1577.0
160,Loss/Contrast,-2.3535306453704834,1578.0
161,Loss/Contrast,-2.355307102203369,1579.0
162,Loss/Contrast,-2.3461530208587646,1601.0
163,Loss/Contrast,-2.3074660301208496,1610.0
164,Loss/Contrast,-2.3431026935577393,1612.0
165,Loss/Contrast,-2.3109993934631348,1625.0
166,Loss/Contrast,-2.319016933441162,1628.0
167,Loss/Contrast,-2.311875104904175,1634.0
168,Loss/Contrast,-2.3077750205993652,1635.0
169,Loss/Contrast,-2.2344202995300293,1638.0
170,Loss/Contrast,-2.337233543395996,1655.0
171,Loss/Contrast,-2.3533363342285156,1668.0
172,Loss/Contrast,-2.2920775413513184,1673.0
173,Loss/Contrast,-2.314702033996582,1684.0
174,Loss/Contrast,-2.3240203857421875,1690.0
