,metric,value,step
136,Loss/Contrast,-2.212510585784912,1926.0
3484,Loss/Contrast,-2.2629733085632324,1974.0
3485,Loss/Contrast,-2.2066690921783447,1982.0
137,Loss/Contrast,-2.2960658073425293,1998.0
3486,Loss/Contrast,-2.261687755584717,2026.0
138,Loss/Contrast,-2.3315482139587402,2029.0
3487,Loss/Contrast,-2.23288631439209,2029.0
139,Loss/Contrast,-2.3287081718444824,2031.0
3488,Loss/Contrast,-2.307324171066284,2041.0
3489,Loss/Contrast,-2.247083902359009,2045.0
140,Loss/Contrast,-2.276991844177246,2047.0
141,Loss/Contrast,-2.1890029907226562,2060.0
142,Loss/Contrast,-2.2710862159729004,2064.0
3490,Loss/Contrast,-2.2597134113311768,2072.0
3491,Loss/Contrast,-2.274519681930542,2075.0
3492,Loss/Contrast,-2.191155433654785,2077.0
3493,Loss/Contrast,-2.228010654449463,2080.0
3494,Loss/Contrast,-2.2068920135498047,2090.0
3495,Loss/Contrast,-2.265810012817383,2114.0
143,Loss/Contrast,-2.2355523109436035,2117.0
144,Loss/Contrast,-2.2903690338134766,2123.0
3496,Loss/Contrast,-2.281755208969116,2140.0
3497,Loss/Contrast,-2.277393341064453,2141.0
145,Loss/Contrast,-2.2077813148498535,2153.0
3498,Loss/Contrast,-2.2827963829040527,2157.0
3499,Loss/Contrast,-2.289130687713623,2163.0
146,Loss/Contrast,-2.2466158866882324,2169.0
147,Loss/Contrast,-2.247008800506592,2237.0
3500,Loss/Contrast,-2.197634696960449,2237.0
148,Loss/Contrast,-2.2408976554870605,2243.0
149,Loss/Contrast,-2.2614054679870605,2247.0
3501,Loss/Contrast,-2.2437500953674316,2261.0
3502,Loss/Contrast,-2.2731666564941406,2262.0
3503,Loss/Contrast,-2.345048666000366,2269.0
3504,Loss/Contrast,-2.2317590713500977,2271.0
150,Loss/Contrast,-2.249267101287842,2275.0
3505,Loss/Contrast,-2.1870827674865723,2277.0
3506,Loss/Contrast,-2.250478744506836,2279.0
3507,Loss/Contrast,-2.223184585571289,2297.0
3508,Loss/Contrast,-2.22402286529541,2318.0
3509,Loss/Contrast,-2.2817251682281494,2325.0
3510,Loss/Contrast,-2.2946345806121826,2327.0
3511,Loss/Contrast,-2.167905330657959,2328.0
151,Loss/Contrast,-2.2584524154663086,2333.0
3512,Loss/Contrast,-2.2581071853637695,2337.0
3513,Loss/Contrast,-2.294619560241699,2338.0
152,Loss/Contrast,-2.2408056259155273,2344.0
3514,Loss/Contrast,-2.3390541076660156,2349.0
3515,Loss/Contrast,-2.2648727893829346,2355.0
3516,Loss/Contrast,-2.232253074645996,2369.0
3517,Loss/Contrast,-2.3245368003845215,2383.0
3518,Loss/Contrast,-2.258976936340332,2387.0
153,Loss/Contrast,-2.295562982559204,2388.0
154,Loss/Contrast,-2.2927770614624023,2390.0
155,Loss/Contrast,-2.2245802879333496,2401.0
156,Loss/Contrast,-2.262892723083496,2404.0
3519,Loss/Contrast,-2.3004026412963867,2410.0
157,Loss/Contrast,-2.312127113342285,2425.0
3520,Loss/Contrast,-2.229307174682617,2429.0
3521,Loss/Contrast,-2.1618006229400635,2431.0
158,Loss/Contrast,-2.262178897857666,2450.0
3522,Loss/Contrast,-2.227829933166504,2453.0
159,Loss/Contrast,-2.2290232181549072,2459.0
3523,Loss/Contrast,-2.1945924758911133,2459.0
3524,Loss/Contrast,-2.263476848602295,2461.0
160,Loss/Contrast,-2.2815051078796387,2467.0
3525,Loss/Contrast,-2.206367254257202,2473.0
161,Loss/Contrast,-2.2935338020324707,2475.0
3526,Loss/Contrast,-2.2364115715026855,2477.0
3527,Loss/Contrast,-2.238537311553955,2480.0
3528,Loss/Contrast,-2.238924026489258,2488.0
3529,Loss/Contrast,-2.319547414779663,2502.0
162,Loss/Contrast,-2.1569576263427734,2502.0
3530,Loss/Contrast,-2.2023115158081055,2511.0
163,Loss/Contrast,-2.2658400535583496,2514.0
164,Loss/Contrast,-2.2223806381225586,2516.0
165,Loss/Contrast,-2.238285541534424,2529.0
166,Loss/Contrast,-2.2049286365509033,2533.0
3531,Loss/Contrast,-2.2269980907440186,2539.0
3532,Loss/Contrast,-2.263101577758789,2543.0
167,Loss/Contrast,-2.240577220916748,2547.0
3533,Loss/Contrast,-2.25732421875,2551.0
168,Loss/Contrast,-2.2710325717926025,2576.0
169,Loss/Contrast,-2.239924192428589,2585.0
3534,Loss/Contrast,-2.252887010574341,2587.0
170,Loss/Contrast,-2.234753131866455,2588.0
3535,Loss/Contrast,-2.175356864929199,2589.0
3536,Loss/Contrast,-2.2315053939819336,2593.0
3537,Loss/Contrast,-2.1931142807006836,2594.0
3538,Loss/Contrast,-2.2568440437316895,2595.0
171,Loss/Contrast,-2.2517800331115723,2601.0
3539,Loss/Contrast,-2.269049882888794,2601.0
172,Loss/Contrast,-2.2416746616363525,2603.0
3540,Loss/Contrast,-2.2715094089508057,2620.0
173,Loss/Contrast,-2.2281529903411865,2628.0
174,Loss/Contrast,-2.178361415863037,2630.0
3541,Loss/Contrast,-2.2366645336151123,2647.0
3542,Loss/Contrast,-2.1770007610321045,2659.0
3543,Loss/Contrast,-2.3333168029785156,2675.0
175,Loss/Contrast,-2.2253854274749756,2695.0
176,Loss/Contrast,-2.331685781478882,2700.0
3544,Loss/Contrast,-2.2328081130981445,2703.0
177,Loss/Contrast,-2.218762159347534,2703.0
3545,Loss/Contrast,-2.2596328258514404,2705.0
3546,Loss/Contrast,-2.2110719680786133,2716.0
3547,Loss/Contrast,-2.292501449584961,2718.0
3548,Loss/Contrast,-2.2921900749206543,2723.0
3549,Loss/Contrast,-2.236614227294922,2732.0
3550,Loss/Contrast,-2.2352006435394287,2742.0
178,Loss/Contrast,-2.255312919616699,2750.0
179,Loss/Contrast,-2.233180284500122,2756.0
3551,Loss/Contrast,-2.2819316387176514,2759.0
180,Loss/Contrast,-2.312206268310547,2763.0
3552,Loss/Contrast,-2.17842698097229,2774.0
3553,Loss/Contrast,-2.2851991653442383,2775.0
3554,Loss/Contrast,-2.173504114151001,2778.0
181,Loss/Contrast,-2.2618942260742188,2800.0
182,Loss/Contrast,-2.342787742614746,2801.0
183,Loss/Contrast,-2.2439322471618652,2812.0
3555,Loss/Contrast,-2.251281261444092,2835.0
3556,Loss/Contrast,-2.2484145164489746,2838.0
184,Loss/Contrast,-2.2509140968322754,2847.0
185,Loss/Contrast,-2.258358955383301,2848.0
186,Loss/Contrast,-2.262953281402588,2859.0
187,Loss/Contrast,-2.2434558868408203,2860.0
3557,Loss/Contrast,-2.2472691535949707,2861.0
188,Loss/Contrast,-2.269127368927002,2862.0
3558,Loss/Contrast,-2.249417781829834,2862.0
3559,Loss/Contrast,-2.2732138633728027,2884.0
3560,Loss/Contrast,-2.2778916358947754,2902.0
189,Loss/Contrast,-2.2437732219696045,2911.0
3561,Loss/Contrast,-2.3069651126861572,2913.0
190,Loss/Contrast,-2.179295063018799,2923.0
191,Loss/Contrast,-2.296610116958618,2934.0
3562,Loss/Contrast,-2.2514824867248535,2935.0
3563,Loss/Contrast,-2.241377830505371,2937.0
3564,Loss/Contrast,-2.261446714401245,2943.0
192,Loss/Contrast,-2.1885361671447754,2991.0
193,Loss/Contrast,-2.238891363143921,2992.0
194,Loss/Contrast,-2.2329020500183105,2995.0
3565,Loss/Contrast,-2.2776741981506348,3003.0
195,Loss/Contrast,-2.216592788696289,3005.0
196,Loss/Contrast,-2.1957480907440186,3008.0
3566,Loss/Contrast,-2.282966375350952,3026.0
197,Loss/Contrast,-2.2053442001342773,3036.0
198,Loss/Contrast,-2.2560644149780273,3045.0
3567,Loss/Contrast,-2.276602268218994,3053.0
199,Loss/Contrast,-2.2645225524902344,3057.0
3568,Loss/Contrast,-2.214313268661499,3066.0
3569,Loss/Contrast,-2.2255496978759766,3081.0
3570,Loss/Contrast,-2.1876182556152344,3088.0
200,Loss/Contrast,-2.3064959049224854,3102.0
3571,Loss/Contrast,-2.2481327056884766,3103.0
3572,Loss/Contrast,-2.2525129318237305,3112.0
3573,Loss/Contrast,-2.23490571975708,3113.0
3574,Loss/Contrast,-2.279240608215332,3125.0
201,Loss/Contrast,-2.2505061626434326,3127.0
3575,Loss/Contrast,-2.2314157485961914,3129.0
202,Loss/Contrast,-2.300785541534424,3135.0
203,Loss/Contrast,-2.192683219909668,3144.0
3576,Loss/Contrast,-2.25689697265625,3147.0
204,Loss/Contrast,-2.2021374702453613,3160.0
205,Loss/Contrast,-2.2591965198516846,3166.0
3577,Loss/Contrast,-2.2530760765075684,3177.0
206,Loss/Contrast,-2.2780003547668457,3187.0
3578,Loss/Contrast,-2.239539384841919,3198.0
207,Loss/Contrast,-2.2690367698669434,3202.0
208,Loss/Contrast,-2.2061102390289307,3203.0
3579,Loss/Contrast,-2.227527618408203,3205.0
3580,Loss/Contrast,-2.1928551197052,3216.0
3581,Loss/Contrast,-2.2300920486450195,3227.0
209,Loss/Contrast,-2.2832841873168945,3249.0
3582,Loss/Contrast,-2.258310317993164,3263.0
3583,Loss/Contrast,-2.2639384269714355,3272.0
3584,Loss/Contrast,-2.2157745361328125,3292.0
3585,Loss/Contrast,-2.253544807434082,3299.0
210,Loss/Contrast,-2.2844228744506836,3308.0
3586,Loss/Contrast,-2.289733409881592,3321.0
3587,Loss/Contrast,-2.270386219024658,3322.0
211,Loss/Contrast,-2.206843137741089,3328.0
212,Loss/Contrast,-2.249055862426758,3334.0
213,Loss/Contrast,-2.2614710330963135,3342.0
3588,Loss/Contrast,-2.218863010406494,3349.0
214,Loss/Contrast,-2.216465473175049,3354.0
3589,Loss/Contrast,-2.2332119941711426,3355.0
3590,Loss/Contrast,-2.21073317527771,3365.0
215,Loss/Contrast,-2.2519350051879883,3370.0
3591,Loss/Contrast,-2.1852169036865234,3374.0
216,Loss/Contrast,-2.193469524383545,3381.0
217,Loss/Contrast,-2.269568681716919,3398.0
218,Loss/Contrast,-2.22416353225708,3405.0
3592,Loss/Contrast,-2.1748592853546143,3416.0
219,Loss/Contrast,-2.2632341384887695,3417.0
3593,Loss/Contrast,-2.231560230255127,3422.0
3594,Loss/Contrast,-2.270585536956787,3425.0
3595,Loss/Contrast,-2.198338508605957,3431.0
3596,Loss/Contrast,-2.270940065383911,3434.0
220,Loss/Contrast,-2.2316393852233887,3435.0
3597,Loss/Contrast,-2.2093567848205566,3444.0
3598,Loss/Contrast,-2.1986083984375,3448.0
221,Loss/Contrast,-2.2579190731048584,3459.0
222,Loss/Contrast,-2.2914578914642334,3463.0
223,Loss/Contrast,-2.1816530227661133,3469.0
224,Loss/Contrast,-2.299769401550293,3477.0
225,Loss/Contrast,-2.1696324348449707,3484.0
3599,Loss/Contrast,-2.256359100341797,3485.0
226,Loss/Contrast,-2.1721889972686768,3490.0
3600,Loss/Contrast,-2.267000198364258,3510.0
227,Loss/Contrast,-2.208251476287842,3514.0
3601,Loss/Contrast,-2.249399423599243,3517.0
3602,Loss/Contrast,-2.228975296020508,3519.0
3603,Loss/Contrast,-2.1918447017669678,3529.0
228,Loss/Contrast,-2.2162678241729736,3531.0
229,Loss/Contrast,-2.2365097999572754,3539.0
230,Loss/Contrast,-2.2184691429138184,3540.0
3604,Loss/Contrast,-2.1617889404296875,3541.0
231,Loss/Contrast,-2.2542638778686523,3543.0
3605,Loss/Contrast,-2.240595579147339,3544.0
3606,Loss/Contrast,-2.2922210693359375,3552.0
232,Loss/Contrast,-2.2308363914489746,3562.0
3607,Loss/Contrast,-2.1959500312805176,3566.0
3608,Loss/Contrast,-2.293482780456543,3575.0
233,Loss/Contrast,-2.2196261882781982,3586.0
3609,Loss/Contrast,-2.21854829788208,3587.0
234,Loss/Contrast,-2.2712302207946777,3603.0
3610,Loss/Contrast,-2.228614330291748,3616.0
235,Loss/Contrast,-2.2642662525177,3632.0
236,Loss/Contrast,-2.176741123199463,3633.0
3611,Loss/Contrast,-2.2841739654541016,3635.0
3612,Loss/Contrast,-2.2426607608795166,3638.0
237,Loss/Contrast,-2.3173913955688477,3639.0
238,Loss/Contrast,-2.202928066253662,3645.0
3613,Loss/Contrast,-2.1873621940612793,3645.0
239,Loss/Contrast,-2.241168975830078,3647.0
240,Loss/Contrast,-2.215299367904663,3663.0
241,Loss/Contrast,-2.233999729156494,3677.0
3614,Loss/Contrast,-2.2973365783691406,3687.0
3615,Loss/Contrast,-2.1785128116607666,3689.0
242,Loss/Contrast,-2.2711644172668457,3694.0
243,Loss/Contrast,-2.2192373275756836,3700.0
3616,Loss/Contrast,-2.3083746433258057,3701.0
3617,Loss/Contrast,-2.268173933029175,3702.0
244,Loss/Contrast,-2.1682095527648926,3703.0
3618,Loss/Contrast,-2.2221736907958984,3703.0
245,Loss/Contrast,-2.227372169494629,3706.0
246,Loss/Contrast,-2.238260507583618,3711.0
247,Loss/Contrast,-2.2467527389526367,3715.0
248,Loss/Contrast,-2.2289350032806396,3719.0
249,Loss/Contrast,-2.2251148223876953,3721.0
250,Loss/Contrast,-2.2069854736328125,3722.0
251,Loss/Contrast,-2.2512290477752686,3723.0
3619,Loss/Contrast,-2.286734104156494,3737.0
252,Loss/Contrast,-2.1949074268341064,3739.0
253,Loss/Contrast,-2.2440834045410156,3746.0
3620,Loss/Contrast,-2.2521324157714844,3763.0
3621,Loss/Contrast,-2.166022539138794,3772.0
3622,Loss/Contrast,-2.2826359272003174,3774.0
3623,Loss/Contrast,-2.1872596740722656,3778.0
254,Loss/Contrast,-2.2483444213867188,3779.0
255,Loss/Contrast,-2.252048969268799,3783.0
256,Loss/Contrast,-2.196089506149292,3789.0
3624,Loss/Contrast,-2.1899752616882324,3806.0
257,Loss/Contrast,-2.203289270401001,3809.0
258,Loss/Contrast,-2.235887050628662,3812.0
259,Loss/Contrast,-2.2711429595947266,3817.0
3625,Loss/Contrast,-2.181908130645752,3822.0
3626,Loss/Contrast,-2.2459230422973633,3828.0
3627,Loss/Contrast,-2.213587760925293,3841.0
260,Loss/Contrast,-2.2162742614746094,3852.0
3628,Loss/Contrast,-2.2342982292175293,3901.0
261,Loss/Contrast,-2.2546043395996094,3921.0
262,Loss/Contrast,-2.2179617881774902,3923.0
3629,Loss/Contrast,-2.237572431564331,3929.0
263,Loss/Contrast,-2.203120708465576,3929.0
264,Loss/Contrast,-2.2600202560424805,3930.0
265,Loss/Contrast,-2.284824848175049,3931.0
266,Loss/Contrast,-2.203385829925537,3935.0
3630,Loss/Contrast,-2.246603012084961,3935.0
267,Loss/Contrast,-2.159010648727417,3945.0
3631,Loss/Contrast,-2.262582540512085,3958.0
3632,Loss/Contrast,-2.20723819732666,3959.0
3633,Loss/Contrast,-2.2273731231689453,3965.0
268,Loss/Contrast,-2.1815919876098633,3980.0
3634,Loss/Contrast,-2.234466552734375,3987.0
3635,Loss/Contrast,-2.2714531421661377,3989.0
269,Loss/Contrast,-2.173201322555542,3989.0
270,Loss/Contrast,-2.262371063232422,3997.0
3636,Loss/Contrast,-2.212557792663574,4005.0
271,Loss/Contrast,-2.16949462890625,4030.0
3637,Loss/Contrast,-2.1785364151000977,4035.0
272,Loss/Contrast,-2.2188305854797363,4049.0
3638,Loss/Contrast,-2.298129081726074,4050.0
273,Loss/Contrast,-2.214646816253662,4052.0
3639,Loss/Contrast,-2.226731777191162,4053.0
274,Loss/Contrast,-2.2078566551208496,4058.0
275,Loss/Contrast,-2.2627859115600586,4060.0
3640,Loss/Contrast,-2.292093276977539,4074.0
276,Loss/Contrast,-2.236680746078491,4079.0
277,Loss/Contrast,-2.292431592941284,4086.0
278,Loss/Contrast,-2.194751262664795,4094.0
3641,Loss/Contrast,-2.1932482719421387,4100.0
3642,Loss/Contrast,-2.2163665294647217,4102.0
3643,Loss/Contrast,-2.198678493499756,4106.0
3644,Loss/Contrast,-2.2236533164978027,4108.0
3645,Loss/Contrast,-2.1849899291992188,4112.0
279,Loss/Contrast,-2.3262267112731934,4113.0
3646,Loss/Contrast,-2.2361598014831543,4136.0
280,Loss/Contrast,-2.184177875518799,4137.0
3647,Loss/Contrast,-2.220522403717041,4140.0
281,Loss/Contrast,-2.2566328048706055,4153.0
282,Loss/Contrast,-2.2473552227020264,4173.0
283,Loss/Contrast,-2.2683544158935547,4187.0
3648,Loss/Contrast,-2.205659866333008,4204.0
284,Loss/Contrast,-2.2102835178375244,4205.0
285,Loss/Contrast,-2.2848215103149414,4206.0
3649,Loss/Contrast,-2.272557258605957,4213.0
286,Loss/Contrast,-2.276324987411499,4215.0
3650,Loss/Contrast,-2.2527003288269043,4224.0
287,Loss/Contrast,-2.2069320678710938,4236.0
288,Loss/Contrast,-2.174572467803955,4241.0
289,Loss/Contrast,-2.236198902130127,4249.0
3651,Loss/Contrast,-2.1863760948181152,4250.0
290,Loss/Contrast,-2.234034776687622,4252.0
3652,Loss/Contrast,-2.257622003555298,4253.0
291,Loss/Contrast,-2.266955852508545,4257.0
3653,Loss/Contrast,-2.197782278060913,4260.0
3654,Loss/Contrast,-2.170724630355835,4266.0
292,Loss/Contrast,-2.1868104934692383,4266.0
3655,Loss/Contrast,-2.1990394592285156,4274.0
3656,Loss/Contrast,-2.1504600048065186,4278.0
3657,Loss/Contrast,-2.243183135986328,4289.0
3658,Loss/Contrast,-2.164684295654297,4301.0
3659,Loss/Contrast,-2.18062686920166,4311.0
293,Loss/Contrast,-2.2166430950164795,4316.0
294,Loss/Contrast,-2.226189136505127,4317.0
3660,Loss/Contrast,-2.230152130126953,4322.0
3661,Loss/Contrast,-2.262615203857422,4331.0
3662,Loss/Contrast,-2.275947093963623,4332.0
3663,Loss/Contrast,-2.204355239868164,4338.0
3664,Loss/Contrast,-2.286726236343384,4346.0
295,Loss/Contrast,-2.2730636596679688,4367.0
3665,Loss/Contrast,-2.230851650238037,4370.0
296,Loss/Contrast,-2.1621618270874023,4376.0
297,Loss/Contrast,-2.232530355453491,4377.0
3666,Loss/Contrast,-2.2160072326660156,4378.0
